operator_id,total_calls,incoming_calls,outgoing_calls,missed_incoming_calls,avg_wait_time,avg_call_duration,avg_total_call_duration,incoming_missed_ratio
891906,77.0,77.0,0.0,0.0,26.532467532467532,194.24675324675326,220.7792207792208,0.0
891908,51.0,40.0,11.0,0.0,8.96078431372549,185.94117647058823,194.90196078431373,0.0
891918,8.0,7.0,1.0,0.0,29.75,62.0,91.75,0.0
891946,52.0,17.0,35.0,0.0,18.307692307692307,45.36538461538461,63.67307692307692,0.0
891948,1.0,1.0,0.0,0.0,3.0,33.0,36.0,0.0
891970,21.0,0.0,21.0,0.0,14.523809523809524,52.666666666666664,67.19047619047619,
891976,2.0,0.0,2.0,0.0,11.5,0.0,11.5,
891988,944.0,441.0,503.0,0.0,12.544491525423728,102.66843220338983,115.21292372881356,0.0
892028,1554.0,0.0,1554.0,0.0,17.925353925353924,23.885456885456886,41.810810810810814,
892530,21.0,11.0,10.0,0.0,30.904761904761905,43.23809523809524,74.14285714285714,0.0
892532,176.0,74.0,102.0,0.0,22.75,75.6534090909091,98.4034090909091,0.0
892534,46.0,35.0,11.0,0.0,28.217391304347824,247.54347826086956,275.7608695652174,0.0
892536,34.0,17.0,17.0,0.0,22.58823529411765,94.02941176470588,116.61764705882354,0.0
892538,135.0,12.0,123.0,0.0,21.340740740740742,79.6,100.94074074074074,0.0
892798,37.0,1.0,36.0,0.0,7.594594594594595,6.135135135135135,13.72972972972973,0.0
892800,10.0,0.0,10.0,0.0,11.1,129.1,140.2,
893172,46.0,43.0,3.0,0.0,22.456521739130434,86.56521739130434,109.02173913043478,0.0
893400,6.0,3.0,3.0,0.0,18.0,15.166666666666666,33.166666666666664,0.0
893402,424.0,368.0,56.0,3.0,16.620283018867923,82.48820754716981,99.10849056603773,0.008152173913043478
893420,245.0,209.0,36.0,1.0,20.751020408163264,80.66122448979591,101.41224489795918,0.004784688995215311
893674,2701.0,0.0,2701.0,0.0,18.957052943354313,23.211032950758977,42.16808589411329,
893700,8.0,0.0,8.0,0.0,36.625,8.5,45.125,
893804,6570.0,2632.0,3938.0,12.0,13.311111111111112,46.74003044140031,60.05114155251142,0.004559270516717325
894120,24.0,24.0,0.0,1.0,20.541666666666668,75.83333333333333,96.375,0.041666666666666664
894224,50.0,17.0,33.0,1.0,8.88,29.04,37.92,0.058823529411764705
894226,25.0,0.0,25.0,0.0,13.72,4.52,18.24,
894230,21.0,6.0,15.0,1.0,11.666666666666666,31.285714285714285,42.95238095238095,0.16666666666666666
894232,21.0,5.0,16.0,1.0,15.380952380952381,21.095238095238095,36.476190476190474,0.2
894614,8.0,8.0,0.0,1.0,14.375,183.375,197.75,0.125
894656,3416.0,20.0,3396.0,0.0,9.709894613583138,40.03132318501171,49.741217798594846,0.0
894662,49.0,1.0,48.0,0.0,12.46938775510204,246.3877551020408,258.85714285714283,0.0
894934,20.0,0.0,20.0,0.0,5.65,3.0,8.65,
895140,4.0,4.0,0.0,0.0,38.0,22.75,60.75,0.0
895170,11.0,11.0,0.0,0.0,14.636363636363637,69.45454545454545,84.0909090909091,0.0
895172,95.0,9.0,86.0,0.0,18.589473684210525,71.6421052631579,90.23157894736842,0.0
895266,4.0,3.0,1.0,0.0,10.75,12.0,22.75,0.0
895370,10.0,0.0,10.0,0.0,6.9,21.7,28.6,
895574,99.0,99.0,0.0,3.0,15.202020202020202,114.81818181818181,130.02020202020202,0.030303030303030304
895576,80.0,80.0,0.0,1.0,17.6625,94.5875,112.25,0.0125
895578,64.0,64.0,0.0,0.0,14.609375,77.390625,92.0,0.0
895598,5.0,3.0,2.0,0.0,8.4,14.4,22.8,0.0
895774,131.0,13.0,118.0,0.0,13.541984732824428,57.221374045801525,70.76335877862596,0.0
895776,264.0,12.0,252.0,1.0,14.113636363636363,48.39393939393939,62.50757575757576,0.08333333333333333
895782,14.0,14.0,0.0,0.0,20.428571428571427,35.714285714285715,56.142857142857146,0.0
895786,46.0,46.0,0.0,0.0,22.108695652173914,61.630434782608695,83.73913043478261,0.0
896008,202.0,0.0,202.0,0.0,10.98019801980198,62.806930693069305,73.7871287128713,
896010,15.0,10.0,5.0,0.0,13.4,32.8,46.2,0.0
896012,270.0,270.0,0.0,1.0,5.966666666666667,124.97407407407407,130.94074074074075,0.003703703703703704
896014,28.0,19.0,9.0,0.0,12.214285714285714,52.07142857142857,64.28571428571429,0.0
896016,377.0,83.0,294.0,0.0,11.705570291777189,55.83819628647215,67.54376657824933,0.0
896018,20.0,9.0,11.0,0.0,17.6,27.1,44.7,0.0
896020,16.0,16.0,0.0,0.0,0.9375,29.5,30.4375,0.0
896382,437.0,41.0,396.0,0.0,20.361556064073227,78.18764302059496,98.54919908466819,0.0
896384,30.0,0.0,30.0,0.0,22.366666666666667,115.46666666666667,137.83333333333334,
896386,76.0,0.0,76.0,0.0,24.342105263157894,54.421052631578945,78.76315789473684,
896390,97.0,0.0,97.0,0.0,20.31958762886598,86.63917525773196,106.95876288659794,
896428,259.0,38.0,221.0,0.0,12.293436293436294,88.27413127413128,100.56756756756756,0.0
896430,19.0,1.0,18.0,0.0,8.526315789473685,38.8421052631579,47.36842105263158,0.0
896536,208.0,208.0,0.0,2.0,20.990384615384617,132.95192307692307,153.94230769230768,0.009615384615384616
896538,14.0,14.0,0.0,1.0,47.5,149.07142857142858,196.57142857142858,0.07142857142857142
896708,240.0,66.0,174.0,0.0,15.9125,114.82916666666667,130.74166666666667,0.0
897030,82.0,6.0,76.0,0.0,13.951219512195122,53.0,66.95121951219512,0.0
897872,57.0,4.0,53.0,1.0,6.649122807017544,91.19298245614036,97.84210526315789,0.25
897894,19.0,0.0,19.0,0.0,14.0,485.7894736842105,499.7894736842105,
898414,91.0,32.0,59.0,1.0,13.241758241758241,54.285714285714285,67.52747252747253,0.03125
898422,101.0,65.0,36.0,1.0,7.98019801980198,61.415841584158414,69.39603960396039,0.015384615384615385
898434,10.0,0.0,10.0,0.0,40.1,0.6,40.7,
898558,23.0,23.0,0.0,0.0,28.47826086956522,36.47826086956522,64.95652173913044,0.0
898560,21.0,21.0,0.0,0.0,32.095238095238095,64.52380952380952,96.61904761904762,0.0
898676,3.0,3.0,0.0,0.0,8.333333333333334,94.66666666666667,103.0,0.0
898892,102.0,12.0,90.0,0.0,20.725490196078432,58.14705882352941,78.87254901960785,0.0
898902,22.0,0.0,22.0,0.0,21.454545454545453,30.272727272727273,51.72727272727273,
898906,147.0,20.0,127.0,0.0,18.53061224489796,63.775510204081634,82.3061224489796,0.0
898920,79.0,13.0,66.0,0.0,17.670886075949365,101.0379746835443,118.70886075949367,0.0
899076,2.0,0.0,2.0,0.0,23.5,0.0,23.5,
899082,2372.0,713.0,1659.0,1.0,18.771922428330523,40.320404721753796,59.092327150084316,0.001402524544179523
899250,1979.0,309.0,1670.0,5.0,21.040424456796362,36.038403233956544,57.0788276907529,0.016181229773462782
899268,32.0,32.0,0.0,2.0,20.8125,100.84375,121.65625,0.0625
899788,655.0,0.0,655.0,0.0,19.16030534351145,95.52213740458015,114.6824427480916,
899790,731.0,0.0,731.0,0.0,21.68809849521204,101.8467852257182,123.53488372093024,
